pid,model,price,country_code,country,region,income group,scraped_date
4,AirPods Pro,279 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
5,AirPods(2.ª generación),149 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
6,AirPods Max,629 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
7,Apple TV 4K,199 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
8,Tarjeta regalo del Apple Store,Comprar una tarjeta regalo del Apple Store,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
9,Apple Watch SE,Desde 299 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
10,Apple Watch Series 3,Desde 219 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
11,Correa deportiva,49 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
12,iPad,Desde 379 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
13,iPad Pro,Desde 879 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
14,Apple Pencil (2.ª generación),135 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
15,iMac de 24 pulgadas²,Desde 1.449 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
16,MacBook Air,Desde 1.129 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
17,Magic Mouse,85 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
0,iPhone 13,Alkaen 829 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
1,iPhone SE,Alkaen 499 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
2,iPhone 12,Alkaen 709 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
3,AirPods(3. sukupolvi),199 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
4,AirPods Pro,279 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
5,AirPods(2. sukupolvi),149 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
6,Apple TV HD,159 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
